name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
"Maurovic, Dallas",C,"Chicoutimi, Saguenéens",1999-04-30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,F,1999-04-30,1999,1999-09-15,2017,2018,N
"Gladu, Zachary",RW,"Val-d'Or, Foreurs",1998-01-20,17,15,1,1,0,2,0,0,0,0,1,1,0,2,2,4,0,2017-18 | Regular Season,4,2,1734,1734,170,161,132,463,233,154,41,41,37,119,115,110,85,310,F,1998-01-20,1998,1998-09-15,2016,2018,N
"Kurbatov, Egor",LW,"Victoriaville, Tigres",1999-05-17,18,14,1,0,0,1,0,0,0,0,1,0,0,1,4,7,0,2017-18 | Regular Season,7,4,1734,1734,267,258,216,741,234,154,70,69,65,204,178,174,140,492,F,1999-05-17,1999,1999-09-15,2017,2018,N
"Wieringa, Jack",D,"Moncton, Wildcats",1998-03-27,16,4,0,0,1,1,0,0,0,0,0,0,1,1,7,11,0,2017-18 | Regular Season,13,8,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,D,1998-03-27,1998,1998-09-15,2016,2018,N
"Kuzmin, Daniil",LW,"Moncton, Wildcats",1999-05-20,48,47,2,4,3,9,0,0,1,1,2,4,2,8,18,26,1,2017-18 | Regular Season,27,19,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1999-05-20,1999,1999-09-15,2017,2018,N
"Dunn, Sam",D,"Québec, Remparts",1998-03-11,66,73,7,14,11,32,3,7,8,18,4,7,2,13,56,54,30,2017-18 | Regular Season,80,90,1734,1734,225,208,164,597,190,124,66,65,61,192,142,132,96,370,D,1998-03-11,1998,1998-09-15,2016,2018,N
"Khovanov, Alexander",C,"Moncton, Wildcats",2000-04-12,29,67,9,9,10,28,3,4,4,11,6,5,6,17,29,25,20,2017-18 | Regular Season,31,49,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,2000-04-12,2000,2000-09-15,2018,2018,Y
"Zavgorodniy, Dmitry",LW,"Rimouski, Océanic",2000-08-11,62,146,26,13,8,47,9,4,3,16,14,9,5,28,46,30,26,2017-18 | Regular Season,46,79,1734,1734,229,216,179,624,208,144,50,50,50,150,162,150,122,434,F,2000-08-11,2000,2000-09-15,2018,2018,Y
"Zadina, Filip",RW,"Halifax, Mooseheads",1999-11-27,57,234,44,20,18,82,8,4,8,20,33,15,10,58,76,54,29,2017-18 | Regular Season,71,111,1734,1734,268,253,190,711,269,185,56,54,49,159,189,181,134,504,F,1999-11-27,1999,1999-09-15,2018,2018,Y
"Eckl, Bastian",RW,"Drummondville, Voltigeurs",2000-08-27,46,59,3,7,8,18,1,0,1,2,2,7,7,16,22,12,2,2017-18 | Regular Season,12,24,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,F,2000-08-27,2000,2000-09-15,2018,2018,Y
"Dajcar, Tomas",D,"Québec, Remparts",2000-02-02,42,32,2,1,2,5,0,0,0,0,2,1,1,4,19,22,0,2017-18 | Regular Season,39,23,1734,1734,225,208,164,597,190,124,66,65,61,192,142,132,96,370,D,2000-02-02,2000,2000-09-15,2018,2018,Y
"Shestopalov, Mikhail",LW,"Gatineau, Olympiques",2000-01-25,59,66,6,14,5,25,1,2,1,4,4,12,4,20,29,20,11,2017-18 | Regular Season,29,40,1734,1734,212,192,151,555,235,140,63,62,59,184,126,113,85,324,F,2000-01-25,2000,2000-09-15,2018,2018,Y
"Kotkov, Vladislav",RW,"Chicoutimi, Saguenéens",2000-01-08,61,175,21,22,6,49,7,12,2,21,14,9,4,27,39,35,37,2017-18 | Regular Season,45,77,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,F,2000-01-08,2000,2000-09-15,2018,2018,Y
"Sokolov, Egor",RW,"Cape Breton, Screaming Eagles",2000-06-07,64,170,21,8,13,42,9,0,5,14,11,8,8,27,37,57,34,2017-18 | Regular Season,67,72,1734,1734,233,215,175,623,248,166,68,68,64,200,143,133,103,379,F,2000-06-07,2000,2000-09-15,2018,2018,Y
"Ivan, Michal",D,"Acadie-Bathurst, Titan",1999-11-18,48,40,3,6,8,17,0,0,3,3,3,5,5,13,42,28,6,2017-18 | Regular Season,43,50,1734,1734,269,253,208,730,236,159,73,72,68,213,176,169,135,480,D,1999-11-18,1999,1999-09-15,2018,2018,Y
"Hladonik, Jan",LW,"Blainville-Boisbriand, Armada",1999-08-18,56,82,4,10,5,19,0,3,1,4,4,6,4,14,31,21,6,2017-18 | Regular Season,29,40,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,F,1999-08-18,1999,1999-09-15,2017,2018,N
"Hrehorcak, Patrik",RW,"Rouyn-Noranda, Huskies",1999-03-18,63,186,25,14,9,48,9,5,3,17,12,8,6,26,35,25,26,2017-18 | Regular Season,37,67,1734,1734,237,213,174,624,212,135,70,68,65,203,141,127,98,366,F,1999-03-18,1999,1999-09-15,2017,2018,N
"Alexandrov, Nikita",C,"Charlottetown, Islanders",2000-09-16,66,175,13,14,4,31,2,1,1,4,11,13,3,27,45,35,13,2017-18 | Regular Season,48,58,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,2000-09-16,2000,2000-09-15,2019,2018,N
"Safin, Ostap",RW,"Saint John, Sea Dogs",1999-02-11,61,224,26,20,12,58,9,9,3,21,16,10,9,35,42,62,29,2017-18 | Regular Season,89,73,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,F,1999-02-11,1999,1999-09-15,2017,2018,N
"Roganov, Danil",D,"Shawinigan, Cataractes",2000-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,2000-06-28,2000,2000-09-15,2018,2018,Y
"Anttalainen, Aleksi",D,"Blainville-Boisbriand, Armada",1999-03-28,61,87,4,7,11,22,0,0,4,4,2,6,6,14,48,46,9,2017-18 | Regular Season,70,69,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,D,1999-03-28,1999,1999-09-15,2017,2018,N
"Salda, Radim",D,"Saint John, Sea Dogs",1999-02-18,62,146,10,16,15,41,5,8,7,20,5,8,6,19,47,78,28,2017-18 | Regular Season,122,79,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,D,1999-02-18,1999,1999-09-15,2017,2018,N
"McKenna, Colton",LW,"Moncton, Wildcats",1999-08-17,17,11,0,2,0,2,0,0,0,0,0,2,0,2,3,12,0,2017-18 | Regular Season,13,3,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1999-08-17,1999,1999-09-15,2017,2018,N
"Kyte, Patrick",D,"Halifax, Mooseheads",1999-03-29,56,45,5,5,5,15,0,2,1,3,5,3,4,12,35,31,8,2017-18 | Regular Season,39,47,1734,1734,268,253,190,711,269,185,56,54,49,159,189,181,134,504,D,1999-03-29,1999,1999-09-15,2017,2018,N
"Jarry, Loïc",D,"Val-d'Or, Foreurs",2000-07-08,41,14,1,0,1,2,0,0,0,0,1,0,1,2,6,16,0,2017-18 | Regular Season,17,6,1734,1734,170,161,132,463,233,154,41,41,37,119,115,110,85,310,D,2000-07-08,2000,2000-09-15,2018,2018,Y
"Figueira, Damian",D,"Drummondville, Voltigeurs",1998-11-24,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2017-18 | Regular Season,4,3,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,D,1998-11-24,1998,1998-09-15,2017,2018,N
"Skubel, Brandon",RW,"Drummondville, Voltigeurs",1999-10-02,60,79,11,6,9,26,0,1,0,1,11,5,9,25,40,26,2,2017-18 | Regular Season,29,42,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,F,1999-10-02,1999,1999-09-15,2018,2018,Y
"Pataki, Brady",RW,"Moncton, Wildcats",1998-10-03,47,85,8,6,1,15,1,0,0,1,5,3,0,8,14,32,3,2017-18 | Regular Season,56,25,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,F,1998-10-03,1998,1998-09-15,2017,2018,N
"Ouellet, Nathan",RW,"Rimouski, Océanic",2000-05-25,41,28,1,0,3,4,0,0,0,0,1,0,3,4,8,9,0,2017-18 | Regular Season,9,8,1734,1734,229,216,179,624,208,144,50,50,50,150,162,150,122,434,F,2000-05-25,2000,2000-09-15,2018,2018,Y
"Vaysberg, David",LW,"Shawinigan, Cataractes",2000-12-15,8,0,0,1,0,1,0,0,0,0,0,1,0,1,2,3,0,2017-18 | Regular Season,4,2,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,F,2000-12-15,2000,2000-09-15,2019,2018,N
